Assembly	# contigs (>= 0 bp)	# contigs (>= 1000 bp)	# contigs (>= 5000 bp)	# contigs (>= 10000 bp)	# contigs (>= 25000 bp)	# contigs (>= 50000 bp)	Total length (>= 0 bp)	Total length (>= 1000 bp)	Total length (>= 5000 bp)	Total length (>= 10000 bp)	Total length (>= 25000 bp)	Total length (>= 50000 bp)	# contigs	Largest contig	Total length	GC (%)	N50	N75	L50	L75	# N's per 100 kbp
contigs	1225	346	188	135	64	22	5270819	5090747	4726171	4316739	3163950	1644407	436	154056	5155728	50.51	35766	15830	45	100	0.00
scaffolds	1209	332	180	132	66	22	5272059	5092993	4734757	4363300	3283001	1728111	421	154056	5157187	50.51	35944	16904	43	95	24.04
